coat_value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
N,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
O,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
P,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
coat_protein,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
B,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
C,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
D,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
E,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
F,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
G,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
H,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
I,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
J,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
K,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
L,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
M,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
N,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
O,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
P,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
,,,,,,,,,,,,,,,,,,,,,,,,
raw_data_value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041
B,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041
C,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042
D,1.76,1.913,1.841,1.801,1.742,1.644,0.043,0.043,0.043,0.042,0.043,0.042,1.76,1.913,1.841,1.801,1.742,1.644,0.043,0.043,0.043,0.042,0.043,0.042
E,0.783,0.818,0.777,0.805,0.843,0.703,0.042,0.043,0.045,0.042,0.042,0.04,0.783,0.818,0.777,0.805,0.843,0.703,0.042,0.043,0.045,0.042,0.042,0.04
F,0.274,0.261,0.261,0.23,0.242,0.253,0.042,0.043,0.041,0.042,0.04,0.041,0.274,0.261,0.261,0.23,0.242,0.253,0.042,0.043,0.041,0.042,0.04,0.041
G,0.098,0.093,0.098,0.094,0.093,0.093,0.042,0.041,0.041,0.04,0.041,0.041,0.098,0.093,0.098,0.094,0.093,0.093,0.042,0.041,0.041,0.04,0.041,0.041
H,0.051,0.041,0.042,0.043,0.042,0.042,0.04,0.041,0.043,0.041,0.039,0.041,0.051,0.041,0.042,0.043,0.042,0.042,0.04,0.041,0.043,0.041,0.039,0.041
I,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041
J,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041
K,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042
L,1.76,1.913,1.841,1.801,1.742,1.644,0.043,0.043,0.043,0.042,0.043,0.042,1.76,1.913,1.841,1.801,1.742,1.644,0.043,0.043,0.043,0.042,0.043,0.042
M,0.783,0.818,0.777,0.805,0.843,0.703,0.042,0.043,0.045,0.042,0.042,0.04,0.783,0.818,0.777,0.805,0.843,0.703,0.042,0.043,0.045,0.042,0.042,0.04
N,0.274,0.261,0.261,0.23,0.242,0.253,0.042,0.043,0.041,0.042,0.04,0.041,0.274,0.261,0.261,0.23,0.242,0.253,0.042,0.043,0.041,0.042,0.04,0.041
O,0.098,0.093,0.098,0.094,0.093,0.093,0.042,0.041,0.041,0.04,0.041,0.041,0.098,0.093,0.098,0.094,0.093,0.093,0.042,0.041,0.041,0.04,0.041,0.041
P,0.051,0.041,0.042,0.043,0.042,0.042,0.04,0.041,0.043,0.041,0.039,0.041,0.051,0.041,0.042,0.043,0.042,0.042,0.04,0.041,0.043,0.041,0.039,0.041
