coat_value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
P,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
Q,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
R,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
S,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
T,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
U,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
V,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
W,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
X,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
Y,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
Z,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
AA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
AB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
AC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
AD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
AE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
AF,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coat_protein,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
A,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
B,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
C,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
D,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
E,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
F,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
G,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
H,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
I,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
J,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
K,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
L,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
M,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
N,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
O,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
P,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
Q,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
R,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
S,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
T,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
U,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
V,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
W,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
X,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
Y,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
Z,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
AA,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
AB,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
AC,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
AD,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
AE,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
AF,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_data_value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
A,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041
B,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041
C,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042
